Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лисенко,Юхим,Геннадійович,male,2006-07-03,Програміст,село Олександрівськ,"вулиця Слави, буд. 5 кв. 6, Перевальськ, 09422",406-07-81,hennadii63@example.net
Ейбоженко,Маруся,Сергіївна,female,1945-08-06,Аналітик даних,село Краматорськ,"провулок Дніпропетровська дорога, буд. 5, Мелітополь, 52543",156 33 57,mykhailynaartiushenko@example.org
Арсенич,Христина,Кирилівна,female,1943-09-29,Системний адміністратор,місто Сокаль,"вулиця Олександра Невського 2-й, буд. 14 кв. 6, Березівка, 75267",+380 (32) 552-86-45,cherinkotaras@example.org
Даньків,Вадим,Павлович,male,1939-11-29,Аналітик даних,хутір Алупка,"проспект Пресича Олександра, буд. 0 кв. 41, Галич, 18667",016 364 88 18,esliusar@example.net
Габелко,Оксенія,Олександрівна,female,1944-07-15,Архітектор,село Переяслав,"вулиця Пересипська 6-та, буд. 3 кв. 57, Павлоград, 66192",+380 (89) 615-18-03,omeliannosenko@example.com
Андрійчук,Володимира,Костянтинівна,female,1939-07-12,Бухгалтер,хутір Вашківці,"проспект Учнівська, буд. 505 кв. 801, Вишневе , 45792",+380 97 915 99 18,tereza23@example.com
Перепелиця,Владислав,Зеновійович,male,1973-11-22,Дизайнер,хутір Зеленодольськ,"сквер Верхня, буд. 5 кв. 25, Ворожба, 23620",736 89 88,deriazhnyiostap@example.net
Петрик,Гаврило,Костянтинович,male,1990-07-02,Копірайтер,місто Новий Калинів,"площа Князівська, буд. 6 кв. 587, Червоноград, 15730",031 627-35-03,ichuiko@example.net
Байдак,Юстина,Кирилівна,female,1956-06-27,Менеджер з маркетингу,селище Берестечко,"набережна Тираспольське, буд. 03, Бориспіль, 22348",636 20 44,mykhailyna59@example.net
Затовканюк,Хома,Сергійович,male,1991-03-11,Копірайтер,село Кам'янка (Черкаська область),"парк Місячна, буд. 897, Білицьке, 33423",256 70 25,ashelest@example.com
Скирда,Азар,Денисович,male,1941-12-17,PR-менеджер,хутір Луганськ,"провулок Шоста, буд. 1 кв. 707, Іршава, 39868",063 005-07-08,dmytro97@example.net
Опанасенко,Орест,Леонідович,male,1973-05-01,Архітектор,селище Лиман ,"вулиця Матеріальний 1-й, буд. 7, Першотравенськ, 48471",+380 15 120 10 64,leontii87@example.net
Лемешко,Варфоломій,Давидович,male,1992-03-05,Аналітик даних,селище Судова Вишня,"шосе Ушинського, буд. 86 кв. 786, Первомайськ, 72387",+380 (32) 476-20-78,rubanstefan@example.org
Терещенко,Станіслав,Захарович,male,1964-08-06,PR-менеджер,селище Чорноморськ,"сквер Деревообробний 4-й, буд. 67, Біляївка, 72788",+380 88 178-88-25,mariana94@example.com
Батюк,Марко,Олексійович,male,1973-10-30,Менеджер з продажу,селище П'ятихатки,"площа Амурський 1-й, буд. 002 кв. 13, Козятин, 88946",228-44-06,tiahnybokhordii@example.org
Артимишин,Леонтій,Андрійович,male,1996-02-24,Копірайтер,селище Коростишів,"площа Ботанічний, буд. 75, Харків, 46040",+380 84 576-61-49,volodymyra80@example.com
Габелко,Анжела,Федорівна,female,1992-06-22,Копірайтер,селище Харків,"площа Селищна, буд. 53, Нововолинськ, 06216",005 744 08 23,bazylevskyiiustym@example.org
Пустовіт,Сніжана,Григоріївна,female,1968-02-16,Фінансовий аналітик,село Бровари,"парк Асташкіна, буд. 39, Куп'янськ, 85101",+380 (74) 768-82-66,frantsbabak@example.org
Ящук,Кирило,Мар'янович,male,1989-04-07,Інженер з якості,село Зборів,"проспект 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 0, Ладижин, 84300",048 495 01 24,romanpiddubnyi@example.com
Мірошниченко,Назар,Володимирович,male,1982-09-30,Архітектор,місто Борислав,"узвіз Естонська, буд. 7 кв. 84, Підгородне, 65998",+380 28 978-01-77,nadiianosenko@example.com
Засуха,Соломон,Васильович,male,1997-11-14,Копірайтер,селище Глухів,"вулиця Лиманчик 2-й Лінія 4-та, буд. 7, Горохів, 33791",+380 70 618-44-05,eshcherbak@example.net
Франко,Орися,Петрівна,female,1997-07-07,Дизайнер,селище Арциз,"проспект Нахімова, буд. 4, Таврійськ, 89581",+380 62 250-45-15,mykhailyna53@example.com
Шиян,Роман,Максимович,male,1953-02-05,Дизайнер,місто Бунге ,"набережна Парусна, буд. 7 кв. 6, Берегове, 45184",+380 44 454 10 50,sliusarsemen@example.org
Іванченко,Левко,Захарович,male,1948-10-01,Архітектор,місто Соледар,"набережна Зернова, буд. 723, Южноукраїнськ, 63108",807-84-31,bzaporozhets@example.com
Засядько,Надія,Ігорівна,female,1990-08-26,Бухгалтер,селище Скадовськ,"узвіз Восьмого березня 5-й, буд. 18, Ржищів, 60566",+380 35 694 46 93,myroslav89@example.org
Конопленко,Амалія,Максимівна,female,1946-06-03,Бухгалтер,хутір Заставна,"парк Шахтинський, буд. 010, Маріуполь, 08469",093 469 27 23,vasylechkozakhar@example.com
Артимишин,Олекса,Ігорович,male,1990-08-03,Бухгалтер,хутір Красногорівка,"площа Паустовського, буд. 922, Покров, 11526",+380 94 362-26-96,qlutsenko@example.net
Голобородько,Борислав,Володимирович,male,1978-02-06,Інженер з якості,місто Молодогвардійськ,"проспект Дунаєвського 3-й, буд. 53 кв. 9, Залізне, 51470",863-30-27,pprytula@example.org
Бевз,Роксолана,Олегівна,female,1957-10-02,Менеджер з закупівель,місто Путивль,"площа Садовий, буд. 7, Болград, 29505",+380 12 369-56-97,orestzhalilo@example.com
Абрагамовський,Теодор,Петрович,male,1949-08-28,Бухгалтер,місто Волноваха,"площа Чехова, буд. 408 кв. 95, Надвірна, 56639",336 27 63,viktoriiachornovil@example.com
Кабалюк,Хома,Олександрович,male,1989-06-13,Бухгалтер,хутір Ворожба,"набережна Софіївська, буд. 2 кв. 63, Андрушівка, 87806",+380 96 047 10 10,iarynakhrystych@example.com
Луценко,Веніямин,Григорійович,male,1941-09-03,Дизайнер,селище Овруч,"сквер Олександра Вронського, буд. 461 кв. 07, Хорол , 14114",+380 (80) 427-86-00,rveres@example.org
Самойленко,Микита,Мар'янович,male,2004-07-07,Системний адміністратор,хутір Гірник ,"узвіз Композитора Глинки, буд. 1, Житомир, 60456",+380 19 029-61-11,bohodar15@example.com
Колесниченко,Лілія,Давидівна,female,1985-01-28,Дизайнер,хутір Теребовля,"узвіз Мельницька, буд. 898, Калуш, 88980",025 230-41-14,xkolesnychenko@example.org
Охримович,Пріска,Максимівна,female,1966-06-21,Асистент керівника,село Новоазовськ,"узвіз 14-та Суворовська, буд. 14, Борислав, 57774",+380 64 267-06-23,irenatovstolis@example.com
